Longitude,Latitude,Number,nam,BUFF_DIST
31.765827,-24.384226,1.000000,,0
22.937506,-30.559483,2.000000,,0
22.937506,-30.559483,2.000000,,0
30.157512,-23.822328,2.000000,Tzaneen,1
28.099937,-26.177532,1.000000,Hillbrow,1
28.231649,-26.130831,1.000000,Kempton Park,1
30.393915,-29.591143,1.000000,Town Hill,1
28.055281,-25.512682,5.000000,SOSHANGUVE,1
29.565693,-25.496679,5.000000,,0
26.116667,-29.049999,5.000000,,0
30.973292,-24.346139,5.000000,,0
31.087494,-24.605656,5.000000,Acornhoek,1
29.448626,-23.896171,2.000000,PIETERSBURG,1
28.404627,-24.702946,2.000000,Nylstroom,1
31.027561,-23.933367,4.000000,Namakgale,1
31.347452,-25.507849,4.000000,Matsulu,1
31.915352,-25.440994,4.000000,,0
31.915352,-25.440994,4.000000,,0
28.237900,-26.180208,3.000000,Bedfordview,1
26.524597,-33.320614,3.000000,GRAHAMSTOWN,1
26.707474,-33.107185,3.000000,,0
28.028881,-25.423435,4.000000,SOSHANGUVE,1
26.277658,-24.760452,4.000000,,0
30.895824,-28.530554,3.000000,,0
23.434353,-27.461807,3.000000,,0
28.231649,-26.130831,1.000000,Kempton Park,1
31.464220,-23.928612,2.000000,,0
28.315287,-26.153149,2.000000,BENONI,1
28.047304,-26.204103,1.000000,Hillbrow,1
27.807695,-26.703421,1.000000,Bophelong,1
29.448626,-23.896171,1.000000,PIETERSBURG,1
28.429455,-26.244986,4.000000,BRAKPAN,1
31.464220,-23.928612,2.000000,,0
31.464220,-23.928612,1.000000,,0
31.464220,-23.928612,1.000000,,0
27.823961,-25.603619,3.000000,Elandsrand,1
30.069126,-27.750704,2.000000,MADADENI,1
29.202778,-26.516111,6.000000,SECUNDA,1
26.806160,-25.203070,2.000000,Mabeskraal,1
27.245346,-25.654184,2.000000,RUSTENBURG,1
29.017399,-25.736927,7.000000,,0
26.531678,-33.306344,6.000000,GRAHAMSTOWN,1
26.523869,-33.311227,6.000000,GRAHAMSTOWN,1
31.920330,-28.200420,1.000000,,0
31.748028,-28.595123,1.000000,Ntambanana,1
31.175438,-25.413303,1.000000,KaNyamazane,1
31.915352,-25.440994,4.000000,,0
26.664459,-26.870489,2.000000,De Clercqville,1
26.867174,-28.613682,5.000000,,0
26.808983,-33.030483,5.000000,,0
31.893574,-25.358404,2.000000,,0
28.047304,-26.204103,2.000000,Hillbrow,1
31.464220,-23.928612,1.000000,,0
30.367746,-23.041849,3.000000,Lwamondo,1
30.299822,-29.581362,2.000000,Sweet Waters,1
28.315287,-26.153149,1.000000,BENONI,1
28.258600,-26.027706,1.000000,Kaalfontein,1
28.252327,-26.225285,1.000000,East Rand,1
31.082443,-23.940112,2.000000,,0
28.231649,-26.130831,2.000000,Kempton Park,1
29.450586,-25.832727,2.000000,,0
27.006109,-26.005592,2.000000,,0
29.450586,-25.832727,2.000000,,0
21.236809,-28.395267,1.000000,,0
28.231649,-26.130831,1.000000,Kempton Park,1
29.417933,-23.401295,3.000000,,0
30.410195,-24.209103,3.000000,Kgaphamadi,1
28.250114,-25.861420,1.000000,PRETORIA,1
31.591921,-24.996099,2.000000,Skukuza,1
31.591921,-24.996099,2.000000,Skukuza,1
18.524641,-33.861401,2.000000,CAPE TOWN,1
18.475280,-34.100319,2.000000,CAPE TOWN,1
28.232426,-26.102065,3.000000,Kempton Park West,1
28.047304,-26.204103,3.000000,Hillbrow,1
28.300896,-25.219332,2.000000,,0
27.407900,-24.587999,3.000000,Thabazimbi,1
18.505046,-33.966571,3.000000,CAPE TOWN,1
27.888870,-26.219093,2.000000,SOWETO,1
28.047304,-26.204103,2.000000,Hillbrow,1
27.888870,-26.219093,2.000000,SOWETO,1
29.017399,-25.736927,2.000000,,0
28.231649,-26.130831,1.000000,Kempton Park,1
31.905731,-28.872265,5.000000,Ichubo,1
31.748028,-28.595123,5.000000,Ntambanana,1
31.136671,-25.051912,5.000000,Hazyview,1
28.047304,-26.204103,1.000000,Hillbrow,1
28.231649,-26.130831,1.000000,Kempton Park,1
28.281765,-25.411951,6.000000,Ramotse,1
30.002738,-22.371945,3.000000,,0
29.098547,-22.682489,3.000000,,0
30.040792,-22.339874,3.000000,Nancefield,1
30.040792,-22.339874,3.000000,Nancefield,1
31.464220,-23.928612,2.000000,,0
31.464220,-23.928612,2.000000,,0
28.153467,-26.003067,6.000000,Halfway House,1
28.408003,-24.704773,1.000000,Nylstroom,1
28.404627,-24.702946,1.000000,Nylstroom,1
26.664459,-26.870489,3.000000,De Clercqville,1
26.421389,-26.765278,3.000000,Hartbeesfontein,1
23.433238,-27.454727,1.000000,,0
21.403355,-29.453152,1.000000,,0
22.937506,-30.559483,2.000000,,0
27.183496,-25.648933,4.000000,,0
27.274863,-25.640293,1.000000,,0
27.213922,-25.645768,1.000000,Tlhabane,1
32.356953,-28.382357,4.000000,,0
28.047304,-26.204103,3.000000,Hillbrow,1
30.947884,-25.491377,2.000000,NELSPRUIT,1
17.626111,-28.770643,3.000000,,0
28.222305,-26.145622,2.000000,Kempton Park,1
29.003344,-24.183928,2.000000,Potgietersrus,1
30.333908,-24.687704,1.000000,,0
25.687983,-27.639046,1.000000,,0
23.451433,-27.442486,1.000000,,0
28.231649,-26.130831,1.000000,Kempton Park,1
31.051710,-24.650967,1.000000,Arthur's Seat,1
30.792091,-22.363705,2.000000,,0
28.212705,-26.144701,4.000000,Kempton Park,1
31.168255,-25.362845,3.000000,Gutshwa,1
30.719688,-27.958202,6.000000,eMondlo,1
22.937506,-30.559483,1.000000,,0
21.403355,-29.453152,1.000000,,0
27.887892,-26.121864,2.000000,Roodepoort,1
21.403355,-29.453152,1.000000,,0
28.231649,-26.130831,1.000000,Kempton Park,1
28.232426,-26.102065,1.000000,Kempton Park West,1
27.251841,-25.706837,3.000000,,0
28.080372,-26.125900,3.000000,Alexandra,1
22.937506,-30.559483,4.000000,,0
27.807653,-25.603786,3.000000,Elandsrand,1
27.778728,-25.634985,3.000000,Brits,1
30.379958,-29.599928,1.000000,Town Hill,1
29.374998,-28.372324,1.000000,,0
31.464220,-23.928612,3.000000,,0
22.937506,-30.559483,3.000000,,0
29.448626,-23.896171,3.000000,PIETERSBURG,1
29.453629,-23.913063,3.000000,PIETERSBURG,1
25.605010,-33.944137,2.000000,PORT ELIZABETH,1
25.623240,-33.962421,2.000000,PORT ELIZABETH,1
25.633333,-25.850000,1.000000,MAFIKENG,1
25.596160,-25.836052,1.000000,MAFIKENG,1
31.116110,-29.609848,6.000000,,0
31.048717,-29.642231,6.000000,Verulam,1
30.922319,-29.848212,6.000000,,0
27.767044,-26.099297,1.000000,Boltonia,1
27.801045,-26.115006,1.000000,Krugersdorp,1
31.554998,-23.988370,3.000000,,0
28.078094,-25.998737,7.000000,Barbecue Agricultural Holdings,1
32.184620,-28.420265,2.000000,Mtubatuba,1
32.356953,-28.382357,2.000000,,0
31.339971,-23.320062,2.000000,,0
30.613350,-23.952400,2.000000,,0
31.027791,-23.932262,2.000000,Namakgale,1
30.613350,-23.952400,2.000000,,0
