"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR10070","1. Seizure","South Africa","2016-04-05 00:00:00","5 men arrested selling one rhino horn - Secunda","http://allafrica.com/stories/201604060422.html","Media","","","","","","Hawks received information from a previous arrest. Nabbed the five suspects after they agreed on a deal with an undercover cop.","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR10098","2. Poaching / Illegal Harvesting","South Africa","2016-03-17 00:00:00","1 white rhino poached in Kruger NP - 1 convicted","https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=12604","Police","","","Land - Foot","On Person","","","Routine Inspection","Conviction - imprisonment","1","","1","","","","20","Years"
"MOR10304","1. Seizure","South Africa","2017-05-31 00:00:00","Nearly 1,000 donkey skins, 7 tiger skins seized in Benoni, Gauteng","https://www.timeslive.co.za/news/south-africa/2017-05-31-nspca-seizes-donkey-and-tiger-skins-on-benoni-plot-after-tip-off/","Media","","","","In Premises (either domestic or business)","","Tiger skins were found concealed inside the wrapped donkey skins.","Intelligence","Confiscation","","","","","","","",""
"MOR10848","1. Seizure","South Africa","2017-10-17 00:00:00","8 tusks seized on highway N14, Olifantshoek - 4 arrested","https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=13087","Police","https://citizen.co.za/news/south-africa/1756266/three-appear-in-northern-cape-court-after-ivory-bust/","","Land - Vehicle","Inside Vehicle","","","Operation","Confiscation & arrest","","","","","","","",""
"MOR11473","1. Seizure","Eswatini","2017-02-25 00:00:00","24 rhino horn pieces seized at King Mswati III International Airport - 2 convicted","https://www.journalducameroun.com/en/taiwanese-rhino-poachers-get-29-years-in-swazi-jail/","Media","https://www.taiwannews.com.tw/en/news/3615693
Case No. 184/2017 High Court of Swaziland Judgement","","Air","In Personal Baggage","Other","horn pieces found in 3 bags and concealed in boxes of wine","X-ray","Conviction - court fine & imprisonment","2","2","2","160000","SZL Lilangeni","11274","58","Years"
"MOR11475","1. Seizure","South Africa","2017-11-07 00:00:00","2 live pangolins seized in Lulekani - Mopani District, 6 arrested","https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=13336","Police","African Pangolin Working Group","","","","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR11476","1. Seizure","South Africa","2017-10-25 00:00:00","One live pangolin seized in Tzaneen, two suspects arrested and convicted","https://www.saps.gov.za/newsroom/msspeechdetail.php?nid=13336","Police","https://letabaherald.co.za/57900/update-pangolin-dealers-jailed-seven-years/
https://www.npa.gov.za/sites/default/files/media-releases/Two%20Men%20Sentenced%20to%20Seven%20Years%20for%20Possession%20of%20Pangolin.pdf","","","","","","Intelligence","Conviction - imprisonment","2","","2","","","","14","Years"
"MOR11581","1. Seizure","Namibia","2017-05-12 00:00:00","16 pieces of rhino horn intercepted at Eros Airport, Namibia","https://www.journalducameroun.com/en/poaching-syndicates-in-namibia-switching-tactics/","Media","","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","Parcel was labelled 'coffee'","","Confiscation","","","","","","","",""
"MOR11590","1. Seizure","South Africa","2017-05-17 00:00:00","7.035 kilograms of rhino horn seized at OR Tambo Airport destined for Hong Kong","http://www.enca.com/south-africa/rhino-horn-seized-at-or-tambo-airport","Media","","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","Rhino horn was concealed amongst sweets and chocolate","X-ray","Confiscation","","","","","","","",""
"MOR11791","1. Seizure","South Africa","2017-03-16 00:00:00","Man fined R10,000 for possession of rhino horn, lion teeth and crystal meth","https://joburgeastexpress.co.za/73662/joburg-magistrates-court-orders-convict-pay-r10-000-fine/","Media","","","","","","","","Conviction - court fine","1","1","","10000","ZAR South African Rand","773.98400878906","",""
