"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Role","Order in Trade Route","Comments","Building/Place Name","Building Place/Name Alias","Street Address","Village/Commune/Ward","City/Town/Sub-district/Municipality","County/District/Prefecture/Department","State/Province/Region","Country","Latitude","Longitude","Transit Type"
"MOR10070","1. Seizure","South Africa","2016-04-05 00:00:00","5 men arrested selling one rhino horn - Secunda","Discovery Location","","","","","","","Secunda","Gert Sibande District","Mpumalanga","South Africa","-26.516111373901","29.202777862549",""
"MOR10098","2. Poaching / Illegal Harvesting","South Africa","2016-03-17 00:00:00","1 white rhino poached in Kruger NP - 1 convicted","Discovery Location","","","Kruger National Park","Satara Restcamp","","","Bushbuckridge Local Municipality","Ehlanzeni District","Mpumalanga","South Africa","-24.384225845337","31.765827178955",""
"MOR10304","1. Seizure","South Africa","2017-05-31 00:00:00","Nearly 1,000 donkey skins, 7 tiger skins seized in Benoni, Gauteng","Discovery Location","","","","","","","Benoni","City of Ekurhuleni Metropolitan Municipality","Gauteng","South Africa","-26.153148651123","28.315286636353",""
"MOR10848","1. Seizure","South Africa","2017-10-17 00:00:00","8 tusks seized on highway N14, Olifantshoek - 4 arrested","Discovery Location","","","","","N14","","Olifantshoek","John Taolo Gaetsewe District","Northern Cape","South Africa","","",""
"MOR11473","1. Seizure","Eswatini","2017-02-25 00:00:00","24 rhino horn pieces seized at King Mswati III International Airport - 2 convicted","Destination Location","5","","","","","","","","","Hong Kong","22.396427154541","114.10949707031",""
"MOR11473","1. Seizure","Eswatini","2017-02-25 00:00:00","24 rhino horn pieces seized at King Mswati III International Airport - 2 convicted","Transit Location","4","","","","","","","","","South Africa","-30.559482574463","22.937505722046",""
"MOR11473","1. Seizure","Eswatini","2017-02-25 00:00:00","24 rhino horn pieces seized at King Mswati III International Airport - 2 convicted","Transit Location","2","","Happy Valley Hotel & Casino","","MR103","","Lobamba","","Manzini Region","Eswatini","-26.440763","31.189407",""
"MOR11473","1. Seizure","Eswatini","2017-02-25 00:00:00","24 rhino horn pieces seized at King Mswati III International Airport - 2 convicted","Origin Location","1","3 rhino poached from this location","","","","","","","","South Africa","-30.559482574463","22.937505722046",""
"MOR11473","1. Seizure","Eswatini","2017-02-25 00:00:00","24 rhino horn pieces seized at King Mswati III International Airport - 2 convicted","Discovery Location","3","","King Mswati III International Airport","KMIII International Airport (SHO)","","","","","Lubombo Region","Eswatini","-26.356667","31.716944","Airport"
"MOR11473","1. Seizure","Eswatini","2017-02-25 00:00:00","24 rhino horn pieces seized at King Mswati III International Airport - 2 convicted","Origin Location","1","1 rhino was poached from this location","","","","","","","","Eswatini","-26.52250289917","31.465866088867",""
"MOR11475","1. Seizure","South Africa","2017-11-07 00:00:00","2 live pangolins seized in Lulekani - Mopani District, 6 arrested","Discovery Location","","","","","","Lulekani","Phalaborwa","Mopani District Municipality","Limpopo Province","South Africa","-23.86564","31.07688",""
