"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR11616","1. Seizure","Uganda","2017-08-18 00:00:00","12 rhino horn (23 kg) seized at Entebbe International Airport - 1 Vietnamese national arrested","http://www.observer.ug/news/headlines/54481-vietnamese-man-arrested-with-23kg-of-rhino-horn-at-entebbe.html","Media","","C4ADS Air Seizure Database","Air","In Personal Baggage","Amongst other goods","Suspect travelled from Kenya to Uganda by land - vehicle and then planned to travel by air to destinated Viet Nam","Dogs","Charged - No further details","","","","","","","",""
"MOR11998","1. Seizure","Kenya","2017-11-01 00:00:00","Pair in their 60's arrested for possession of leopard skins in Nairobi","https://www.africanindy.com/news/pair-in-their-60s-arrested-for-possession-of-leopard-skins-in-nairobi-12207630","Media","","","","","","KWS followed up intelligence reports which led them to the suspects.","Investigation","Charged - No further details","2","","","","","","",""
"MOR13710","1. Seizure","Kenya","2016-05-29 00:00:00","Police officer arrested in possession of 1 piece of elephant tusk and various stolen law enforcement uniforms in Nyamira County","https://citizentv.co.ke/news/ex-police-officer-arraigned-in-court-over-theft-197674/","Media","","","","","","","","Charged - Pending court case","1","","","","","","",""
"MOR13857","1. Seizure","Kenya","2016-01-25 00:00:00","Chinese man prosecuted for possessing 16 lion teeth at Jomo Kenyatta International Airport","https://www.the-star.co.ke/news/2016/01/27/chinese-fined-sh1m-for-16-lions-teeth_c1283462","Media","","","Air","In Personal Baggage","","Found at screening point at the Jomo Kenyatta International Airport","Routine Inspection","Conviction - court fine","1","1","","1000000","KES Kenyan Shilling","9601.5498046875","",""
"MOR14041","2. Poaching / Illegal Harvesting","Kenya","2018-03-30 00:00:00","Rhino poacher shot dead and another escaped in Solio Ranch","https://citizen.co.za/news/news-africa/1875068/suspected-poacher-shot-dead-in-kenyas-solio-ranch/","Media","","","","","","","","Investigation ongoing","","","","","","","",""
"MOR14192","2. Poaching / Illegal Harvesting","Kenya","2018-06-23 00:00:00","Hippopotamus and waterbuck killed in Masai Mara Reserve, eight poachers arrested","https://www.the-star.co.ke/news/2016/06/23/eight-tanzanian-poachers-arrested-in-maasai-mara_c1374665","Media","","","Land - Foot","On Person","","Poachers were caught in the act of skinning the animals","Routine Inspection","Confiscation & arrest","","","","","","","",""
"MOR14216","1. Seizure","Kenya","2018-05-13 00:00:00","500kg of zebra meat seized, one suspect arrested and charged","https://nairobinews.nation.co.ke/news/burma-market-zebra-meat/","Media","","","Land - Vehicle","Inside Vehicle","","KWS officers got a tip-off so established a survelliance team to trail the suspect and make the arrest.","Intelligence","Charged - Bail granted","1","","","","","","",""
"MOR14525","1. Seizure","Kenya","2017-07-01 00:00:00","Pangolin, rhino and ivory seizure, Kenya, 2017","https://www.standardmedia.co.ke/business/article/2001247206/10-key-dealers-nabbed-and-289-kilos-of-ivory-seized","Media","","","","","","","Investigation","Confiscation & arrest","","","","","","","",""
"MOR14741","1. Seizure","Kenya","2018-04-25 00:00:00","8kg of ivory seized in Muhaka","https://www.the-star.co.ke/news/2018/04/27/police-seize-8kg-of-ivory-in-kwale-county-after-tip-off_c1749880","Media","","World Customs Organization","","","","","Intelligence","Confiscation","","","","","","","",""
"MOR15004","1. Seizure","Kenya","2018-06-09 00:00:00","8 ivory tusks (37kg) seized at road block on Mombasa Malindi Highway, two people arrested","https://hivisasa.com/posts/two-detained-over-ivory-smuggling","Media","https://www.nation.co.ke/counties/mombasa/Two-arrested-in-Mombasa-with-ivory-tusks/1954178-4604010-15aqmpaz/index.html
https://www.nation.co.ke/counties/mombasa/Sh3m-ivory-haul-suspects-denied-bail/1954178-4690830-6xq4ufz/index.html","","Land - Vehicle","Inside Vehicle","","Officers were acting on a tip-off, a sniffer dog was used to find the ivory in the vehicle - hidden in the car’s boot, rear seat and under the driver’s seat.","Intelligence","Charged - Bail refused","2","","","","","","",""
"MOR15668","1. Seizure","Kenya","2018-08-07 00:00:00","5 ivory pieces (40kg) seized in Migori, two arrested","https://citizentv.co.ke/news/tanzanian-nationals-arrested-ksh-3-8m-ivory-migori-209130/","Media","http://www.xinhuanet.com/english/2018-08/08/c_137376859.htm","","","","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR15786","1. Seizure","Kenya","2018-07-29 00:00:00","7 ivory pieces (234kgs) seized in Malili, one arrested","https://www.the-star.co.ke/news/2018/08/05/three-arrested-with-sh48m-ivory-in-makueni-hunt-on-for-italian-buyer_c1797921","Media","","","","","","Items were seized during raids","","Confiscation & arrest","","","","","","","",""
"MOR15789","1. Seizure","Kenya","2018-07-29 00:00:00","11 ivory pieces seized in Mtito Andei, two arrested","https://www.the-star.co.ke/news/2018/08/05/three-arrested-with-sh48m-ivory-in-makueni-hunt-on-for-italian-buyer_c1797921","Media","","","","","","","","Confiscation & arrest","","","","","","","",""
"MOR15884","1. Seizure","Kenya","2018-09-02 00:00:00","9 tusks (23kg) seized in Njambini, three suspects arrested","https://www.the-star.co.ke/news/2018/09/03/three-arrested-with-23kg-elephant-tusks-in-njambini_c1812550","Media","","World Customs Organization","","","","","","Confiscation & arrest","","","","","","","",""
"MOR15984","1. Seizure","Kenya","2018-09-06 00:00:00","36kg tusks seized in Makueni, 2 arrested","https://citizentv.co.ke/news/two-suspects-arrested-with-36kg-elephant-tusks-kws-says-211489/","Media","","","","","","","","Confiscation & arrest","","","","","","","",""
"MOR15986","1. Seizure","Kenya","2018-08-20 00:00:00","2 ivory bangles (150g) seized at Jomo Kenyatta Airport","https://nairobinews.nation.co.ke/news/chinese-woman-nabbed-jkia-ivory-bangles/","Media","","","Air","In Personal Baggage","Amongst other goods","Bangles were concealed into pillow inside passengers check-in baggage","Dogs","Confiscation & arrest","","","","","","","",""
"MOR17064","1. Seizure","Kenya","2018-10-21 00:00:00","3 ivory pieces (19kg) seized in Diani, two suspects arrested","https://www.the-star.co.ke/news/2018/10/22/two-arrested-in-diani-with-elephant-tusks-worth-sh19m_c1838581","Media","https://www.kenyanews.go.ke/police-seize-ivory-worth-sh1-9m-in-kwale [LINK NO LONGER WORKS]","","","","","","Intelligence","Confiscation & arrest","","","","","","","",""
"MOR17070","1. Seizure","Kenya","2018-10-17 00:00:00","6 tusks (64kg) seized in West Pokot, three suspects arrested","https://www.nation.co.ke/counties/west-pokot/Officials-seize-64kg-of-illegal-elephant-tusks-/3444836-4810412-oyxouk/index.html","Media","http://www.xinhuanet.com/english/2018-10/17/c_137539794.htm","","Land - Vehicle","On Person","","","Intelligence","Confiscation & arrest","","","","","","","",""
