"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Role","Order in Trade Route","Comments","Building/Place Name","Building Place/Name Alias","Street Address","Village/Commune/Ward","City/Town/Sub-district/Municipality","County/District/Prefecture/Department","State/Province/Region","Country","Latitude","Longitude","Transit Type"
"MOR11616","1. Seizure","Uganda","2017-08-18 00:00:00","12 rhino horn (23 kg) seized at Entebbe International Airport - 1 Vietnamese national arrested","Origin Location","","","","","","","","","","Kenya","-0.023559000343084","37.906192779541",""
"MOR11616","1. Seizure","Uganda","2017-08-18 00:00:00","12 rhino horn (23 kg) seized at Entebbe International Airport - 1 Vietnamese national arrested","Discovery Location","","","Entebbe International Airport","EBB","","","Entebbe","Wakiso","","Uganda","0.045051500201225","32.442821502686","Airport"
"MOR11616","1. Seizure","Uganda","2017-08-18 00:00:00","12 rhino horn (23 kg) seized at Entebbe International Airport - 1 Vietnamese national arrested","Transit Location","","","","","","","Doha","","","Qatar","25.291608810425","51.530437469482",""
"MOR11616","1. Seizure","Uganda","2017-08-18 00:00:00","12 rhino horn (23 kg) seized at Entebbe International Airport - 1 Vietnamese national arrested","Destination Location","","","","","","","Ha Noi","","Ha Noi","Viet Nam","21.027763366699","105.83415985107",""
"MOR11616","1. Seizure","Uganda","2017-08-18 00:00:00","12 rhino horn (23 kg) seized at Entebbe International Airport - 1 Vietnamese national arrested","Transit Location","","","Entebbe International Airport","EBB","","","Entebbe","Wakiso","","Uganda","0.045051500201225","32.442821502686","Airport"
"MOR11998","1. Seizure","Kenya","2017-11-01 00:00:00","Pair in their 60's arrested for possession of leopard skins in Nairobi","Discovery Location","","","Nyayo Stadium","","","","Nairobi","","","Kenya","-1.3052920103073","36.824733734131",""
"MOR13710","1. Seizure","Kenya","2016-05-29 00:00:00","Police officer arrested in possession of 1 piece of elephant tusk and various stolen law enforcement uniforms in Nyamira County","Discovery Location","","","","","","Chabera","","Nyamira County","","Kenya","-0.42296099662781","35.005554199219",""
"MOR13857","1. Seizure","Kenya","2016-01-25 00:00:00","Chinese man prosecuted for possessing 16 lion teeth at Jomo Kenyatta International Airport","Discovery Location","2","","Jomo Kenyatta International Airport - JKIA","NBO","","","Embakasi","Nairobi","","Kenya","-1.3227100372314","36.926067352295","Airport"
"MOR13857","1. Seizure","Kenya","2016-01-25 00:00:00","Chinese man prosecuted for possessing 16 lion teeth at Jomo Kenyatta International Airport","Transit Location","2","Suspect was en route from Kinshasa to China","Jomo Kenyatta International Airport - JKIA","NBO","","","Embakasi","Nairobi","","Kenya","-1.3227100372314","36.926067352295","Airport"
"MOR13857","1. Seizure","Kenya","2016-01-25 00:00:00","Chinese man prosecuted for possessing 16 lion teeth at Jomo Kenyatta International Airport","Destination Location","3","","","","","","","","","China","35.861660003662","104.19539642334",""
"MOR13857","1. Seizure","Kenya","2016-01-25 00:00:00","Chinese man prosecuted for possessing 16 lion teeth at Jomo Kenyatta International Airport","Origin Location","1","","","","","","Kinshasa","","Kinshasa","Congo, Democratic Republic of The","-4.441930770874","15.266292572021",""
"MOR14041","2. Poaching / Illegal Harvesting","Kenya","2018-03-30 00:00:00","Rhino poacher shot dead and another escaped in Solio Ranch","Discovery Location","","One rhino poacher shot dead and another escaped","Solio Ranch","Solio Game Reserve","","","Nyeri","Nyeri County","Central Province","Kenya","-0.27","37",""
"MOR14192","2. Poaching / Illegal Harvesting","Kenya","2018-06-23 00:00:00","Hippopotamus and waterbuck killed in Masai Mara Reserve, eight poachers arrested","Origin Location","1","","Maasai Mara National Reserve","Masaai Mara","","","","","Narok County","Kenya","-1.4900000095367","35.143890380859",""
"MOR14192","2. Poaching / Illegal Harvesting","Kenya","2018-06-23 00:00:00","Hippopotamus and waterbuck killed in Masai Mara Reserve, eight poachers arrested","Discovery Location","1","1 hippopotamus and 1 waterbuck killed, eight people arrested","Maasai Mara National Reserve","Masaai Mara","","","","","Narok County","Kenya","-1.4900000095367","35.143890380859",""
"MOR14216","1. Seizure","Kenya","2018-05-13 00:00:00","500kg of zebra meat seized, one suspect arrested and charged","Destination Location","2","It is suspected that the suspect was planning on selling the meat at this location","","","","","Kitengela","Kajiado County","","Kenya","-1.4752889871597","36.962009429932",""
"MOR14216","1. Seizure","Kenya","2018-05-13 00:00:00","500kg of zebra meat seized, one suspect arrested and charged","Discovery Location","1","500kg of zebra meat seized one man arrested","","","","Dandora","Nairobi","Nairobi County","","Kenya","-1.2491970062256","36.9030418396",""
"MOR14525","1. Seizure","Kenya","2017-07-01 00:00:00","Pangolin, rhino and ivory seizure, Kenya, 2017","Discovery Location","","","","","","","","","","Kenya","-0.023559000343084","37.906192779541",""
"MOR14741","1. Seizure","Kenya","2018-04-25 00:00:00","8kg of ivory seized in Muhaka","Discovery Location","","","","","","","Muhaka","Kwale District","","Kenya","-4.1744389533997","39.451873779297",""
"MOR15004","1. Seizure","Kenya","2018-06-09 00:00:00","8 ivory tusks (37kg) seized at road block on Mombasa Malindi Highway, two people arrested","Discovery Location","","37kg of ivory seized, two people arrested","Mombasa Malindi Highway","","","","Mombassa","Mombasa County","","Kenya","-4.0061850547791","39.726036071777","Road"
"MOR15668","1. Seizure","Kenya","2018-08-07 00:00:00","5 ivory pieces (40kg) seized in Migori, two arrested","Arrested at","","","","","","Komwoma","Migori","Migori","","Kenya","-1.0687556266785","34.470634460449",""
"MOR15786","1. Seizure","Kenya","2018-07-29 00:00:00","7 ivory pieces (234kgs) seized in Malili, one arrested","Discovery Location","","","","","","Malili","Makueni Sub-county","Makueni County","","Kenya","-1.7314319610596","37.208911895752",""
"MOR15789","1. Seizure","Kenya","2018-07-29 00:00:00","11 ivory pieces seized in Mtito Andei, two arrested","Discovery Location","","","","","","","Mtito Andei","Makueni County","","Kenya","-2.6917309761047","38.166213989258",""
"MOR15884","1. Seizure","Kenya","2018-09-02 00:00:00","9 tusks (23kg) seized in Njambini, three suspects arrested","Discovery Location","","","","","","","Njabini","Nyandarua County","","Kenya","-0.73392999172211","36.627521514893",""
"MOR15984","1. Seizure","Kenya","2018-09-06 00:00:00","36kg tusks seized in Makueni, 2 arrested","Discovery Location","","","","","","","","Makueni County","","Kenya","-1.7864949703217","37.631107330322",""
"MOR15986","1. Seizure","Kenya","2018-08-20 00:00:00","2 ivory bangles (150g) seized at Jomo Kenyatta Airport","Origin Location","1","","Murtala Muhammed International Airport","MMIA","","","","Ikeja","Lagos","Nigeria","6.5818190574646","3.3211350440979","Airport"
"MOR15986","1. Seizure","Kenya","2018-08-20 00:00:00","2 ivory bangles (150g) seized at Jomo Kenyatta Airport","Discovery Location","2","","Jomo Kenyatta International Airport - JKIA","NBO","","","Embakasi","Nairobi","","Kenya","-1.3227100372314","36.926067352295","Airport"
"MOR15986","1. Seizure","Kenya","2018-08-20 00:00:00","2 ivory bangles (150g) seized at Jomo Kenyatta Airport","Destination Location","3","","Guangzhou Baiyun International Airport","CAN","","","Guangzhou","","Guangdong Province","China","23.395908355713","113.30796813965","Airport"
"MOR15986","1. Seizure","Kenya","2018-08-20 00:00:00","2 ivory bangles (150g) seized at Jomo Kenyatta Airport","Transit Location","2","","Jomo Kenyatta International Airport - JKIA","NBO","","","Embakasi","Nairobi","","Kenya","-1.3227100372314","36.926067352295","Airport"
"MOR17064","1. Seizure","Kenya","2018-10-21 00:00:00","3 ivory pieces (19kg) seized in Diani, two suspects arrested","Discovery Location","","","","","","Mvindeni","Diani","Msambweni Sub County","Kwale","Kenya","-4.3187952041626","39.546436309814",""
"MOR17070","1. Seizure","Kenya","2018-10-17 00:00:00","6 tusks (64kg) seized in West Pokot, three suspects arrested","Destination Location","3","","","","","","Kitale","Trans-Nzoia County","","Kenya","1.0195310115814","35.001628875732",""
"MOR17070","1. Seizure","Kenya","2018-10-17 00:00:00","6 tusks (64kg) seized in West Pokot, three suspects arrested","Origin Location","1","It is suspected that the tusks were sourced from this location","","","","","","West Pokot","","Kenya","1.5924439430237","35.285362243652",""
"MOR17070","1. Seizure","Kenya","2018-10-17 00:00:00","6 tusks (64kg) seized in West Pokot, three suspects arrested","Transit Location","2","","","","","Makutano","Kapenguira","West Pokot","","Kenya","1.2545330524445","35.092281341553",""
"MOR17070","1. Seizure","Kenya","2018-10-17 00:00:00","6 tusks (64kg) seized in West Pokot, three suspects arrested","Discovery Location","2","","","","","Makutano","Kapenguira","West Pokot","","Kenya","1.2545330524445","35.092281341553",""
"MOR17100","2. Poaching / Illegal Harvesting","Kenya","2018-07-30 00:00:00","Black rhino poached in Lake Nakuru National Park, horns removed","Origin Location","","Rhino was killed at this location","Lake Nakuru National Park","","","","","Nakuru County","Southern Rift Valley","Kenya","-0.366667","36.083333",""
"MOR17100","2. Poaching / Illegal Harvesting","Kenya","2018-07-30 00:00:00","Black rhino poached in Lake Nakuru National Park, horns removed","Arrested at","","Suspect was arrested with ivory at this location","","","","","Naivasha","Nakuru County","","Kenya","-0.82580000162125","36.33491897583",""
